"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2019,"VII",FALSE,"Незаконна приватизація державного, комунального майна, ст.233","233",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"VIII",TRUE,"Злочини проти довкілля (р. VІІІ КК України)",NA,797,0,0,NA,730,0,0,0,2,149,216,267,53,43,9,55,187,480,8,726,3,2,1,1,0
2019,"VIII",FALSE,"Порушення правил охорони або використання надр, ст.240","240",91,0,0,NA,83,0,0,0,1,22,25,24,7,4,2,14,24,45,0,83,0,0,0,0,0
2019,"VIII",FALSE,"Незаконна порубка лісу, ст.246","246",244,0,0,NA,202,0,0,0,1,52,57,68,10,14,2,13,51,134,4,199,3,2,0,1,0
2019,"IX",TRUE,"Злочини проти громадської безпеки (р. IX КК України)",NA,5199,1,9,NA,4725,300,0,4,36,914,1606,1562,308,295,159,441,1211,2993,80,4644,72,59,9,4,0
2019,"IX",FALSE,"Створення злочинної організації, ст.255","255",166,0,1,NA,23,7,0,0,2,17,4,0,0,0,4,5,4,13,1,23,0,0,0,0,0
2019,"IX",FALSE,"Сприяння учасникам злочинних організацій та укриття їх злочинної  діяльності, ст.256","256",3,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
2019,"IX",FALSE,"Бандитизм, ст.257","257",39,0,0,NA,9,8,0,0,0,1,4,4,0,0,0,2,1,6,0,9,0,0,0,0,0
2019,"IX",FALSE,"Терористичний акт, ст.258","258",16,0,1,NA,4,4,0,0,0,1,1,1,1,0,0,1,2,1,0,4,0,0,0,0,0
2019,"IX",FALSE,"Втягнення у вчинення терористичного акту, ст.258-1","258-1",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"IX",FALSE,"Публічні заклики до вчинення терористичного акту, ст.258-2","258-2",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"IX",FALSE,"Створення терористичної групи чи терористичної організації, ст.258-3","258-3",58,1,0,NA,47,15,0,0,0,19,13,12,2,1,4,5,22,20,0,47,0,0,0,0,0
2019,"IX",FALSE,"Сприяння вчиненню терористичного акту , ст.258-4","258-4",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
