"Year","Article","Part","Chapter","CRTOT","CONVIC","ACQUIT","CMED","CCLOSE","SAMEVERD","CONFES","RECONC","CIRCUMS","SPONS","DENOPR","AMNESTY","DEATH","COTHER","x3LIFEIMP","x3IMP","x3IMP1","x3IMP12","x3IMP23","x3IMP35","x3IMP510","x3IMP1015","x3IMP1525","x3RESTOL","x3DISBAT","x3ARREST","x3CORRW","x3SRVRSTR","x3PUBLW","x3FINE","x3DEPR","x3PNOTHR","PROB","RELAMN","RELOTHR","ADDFINE","ADDRANK","ADDDEPR","ADDCONF","SETCR","SETSEN","ART69","COMTREAT","SPECCNF"
2023,"Article  152",1,"IV",31,20,0,1,10,0,0,0,0,0,5,0,1,4,0,9,0,0,2,6,1,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,1,1,0,0
2023,"Article  152",2,"IV",11,10,0,0,1,0,0,0,0,0,0,0,1,0,0,9,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,1,0,0
2023,"Article  152",3,"IV",23,21,1,0,1,0,0,0,0,0,0,0,1,0,0,21,2,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,2,0,0
2023,"Article  152",4,"IV",19,15,1,0,3,0,0,0,0,0,0,0,1,2,0,12,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,1,0,0
2023,"Article  152",5,"IV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  152",6,"IV",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0
2023,"Article  153",1,"IV",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  153",2,"IV",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2023,"Article  153",3,"IV",5,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0
2023,"Article  153",4,"IV",11,7,0,3,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2023,"Article  153",5,"IV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  153",6,"IV",3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2023,"Article  154",1,"IV",2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  154",2,"IV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  155",1,"IV",39,31,0,1,7,0,0,0,6,0,0,0,0,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,4,0,0,0
2023,"Article  155",2,"IV",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2023,"Article  156",1,"IV",6,5,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
2023,"Article  156",2,"IV",31,29,0,0,2,0,0,0,0,0,0,0,0,2,0,16,2,1,1,4,8,0,0,3,0,0,0,0,0,1,0,0,9,0,0,0,0,4,0,9,3,6,0,0
2023,"Article  156-1",1,"IV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
